Sadness,Anxious,Peer Pressure,Sleep Quality,AI Tools,Family Stress,Financial Satisfaction,Friends Support,Resources Access,Home Stress,Commute Stress,Noise Level,Weather Conditions,Program Confidence,Academic Stress,Advisor Support,Stress Level
Rarely,Always,Sometimes,Always,Rarely,Sometimes,Satisfied,Neutral,Good,Agree,A little,Manageable,Neutral,Yes,A little,A little,3
Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Neutral,Disagree,Adequate,Disagree,A little,Disturbing,Neutral,No,Moderately,A little,4
Often,Always,Always,Often,Often,Sometimes,Dissatisfied,Agree,Good,Agree,Moderately,Disturbing,Agree,No,Significantly,Moderately,5
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Satisfied,Agree,Excellent,Agree,Significantly,Neutral,Neutral,Yes,Moderately,Significantly,4
Sometimes,Always,Sometimes,Often,Sometimes,Often,Neutral,Strongly Agree,Good,Agree,Significantly,Very Manageable,Strongly Agree,Yes,Significantly,Moderately,4
Often,Always,Always,Often,Sometimes,Often,Satisfied,Agree,Good,Agree,Extremely,Disturbing,Strongly Agree,Yes,Moderately,Moderately,4
Rarely,Often,Always,Always,Often,Rarely,Neutral,Agree,Good,Disagree,Significantly,Very Disturbing,Agree,Yes,Moderately,Significantly,3
Always,Always,Often,Often,Often,Never,Neutral,Agree,Excellent,Neutral,Extremely,Manageable,Strongly Agree,No,Extremely,Moderately,5
Often,Often,Sometimes,Always,Often,Often,Dissatisfied,Agree,Excellent,Agree,Extremely,Disturbing,Strongly Agree,Yes,Extremely,Moderately,5
Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Agree,Extremely,Disturbing,Agree,No,Significantly,Moderately,4
Always,Always,Always,Always,Always,Often,Satisfied,Agree,Excellent,Strongly Agree,Extremely,Manageable,Strongly Agree,No,Significantly,Significantly,5
Always,Sometimes,Rarely,Often,Rarely,Always,Dissatisfied,Agree,Adequate,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,2
Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very Satisfied,Strongly Agree,Good,Disagree,A little,Very Manageable,Neutral,Yes,Not at all,Significantly,5
